path,label
d:\CAPSTONE PROJECT\datasets\maize trainningsystem\healthy\Corn_Health (1).jpg,Healthy_maize
d:\CAPSTONE PROJECT\datasets\maize trainningsystem\healthy\Corn_Health (10).jpg,Healthy_maize
d:\CAPSTONE PROJECT\datasets\maize trainningsystem\healthy\Corn_Health (100).jpg,Healthy_maize
d:\CAPSTONE PROJECT\datasets\maize trainningsystem\healthy\Corn_Health (1003).jpg,Healthy_maize
d:\CAPSTONE PROJECT\datasets\maize trainningsystem\healthy\Corn_Health (1004).jpg,Healthy_maize
d:\CAPSTONE PROJECT\datasets\maize trainningsystem\healthy\Corn_Health (1005).jpg,Healthy_maize
d:\CAPSTONE PROJECT\datasets\maize trainningsystem\healthy\Corn_Health (1006).jpg,Healthy_maize
d:\CAPSTONE PROJECT\datasets\maize trainningsystem\healthy\Corn_Health (1007).jpg,Healthy_maize
d:\CAPSTONE PROJECT\datasets\maize trainningsystem\healthy\Corn_Health (1008).jpg,Healthy_maize
d:\CAPSTONE PROJECT\datasets\maize trainningsystem\healthy\Corn_Health (1009).jpg,Healthy_maize
d:\CAPSTONE PROJECT\datasets\maize trainningsystem\healthy\Corn_Health (101).jpg,Healthy_maize
d:\CAPSTONE PROJECT\datasets\maize trainningsystem\healthy\Corn_Health (1010).jpg,Healthy_maize
d:\CAPSTONE PROJECT\datasets\maize trainningsystem\healthy\Corn_Health (1011).jpg,Healthy_maize
d:\CAPSTONE PROJECT\datasets\maize trainningsystem\healthy\Corn_Health (1012).JPG,Healthy_maize
d:\CAPSTONE PROJECT\datasets\maize trainningsystem\healthy\Corn_Health (1014).jpg,Healthy_maize
d:\CAPSTONE PROJECT\datasets\maize trainningsystem\healthy\Corn_Health (1015).jpg,Healthy_maize
d:\CAPSTONE PROJECT\datasets\maize trainningsystem\healthy\Corn_Health (1016).jpg,Healthy_maize
d:\CAPSTONE PROJECT\datasets\maize trainningsystem\healthy\Corn_Health (1017).jpg,Healthy_maize
d:\CAPSTONE PROJECT\datasets\maize trainningsystem\healthy\Corn_Health (1018).jpg,Healthy_maize
d:\CAPSTONE PROJECT\datasets\maize trainningsystem\healthy\Corn_Health (1019).jpg,Healthy_maize
d:\CAPSTONE PROJECT\datasets\maize trainningsystem\healthy\Corn_Health (1020).jpg,Healthy_maize
d:\CAPSTONE PROJECT\datasets\maize trainningsystem\healthy\Corn_Health (1021).jpg,Healthy_maize
d:\CAPSTONE PROJECT\datasets\maize trainningsystem\healthy\Corn_Health (1022).jpg,Healthy_maize
d:\CAPSTONE PROJECT\datasets\maize trainningsystem\healthy\Corn_Health (1023).jpg,Healthy_maize
d:\CAPSTONE PROJECT\datasets\maize trainningsystem\healthy\Corn_Health (1025).jpg,Healthy_maize
d:\CAPSTONE PROJECT\datasets\maize trainningsystem\healthy\Corn_Health (1026).jpg,Healthy_maize
d:\CAPSTONE PROJECT\datasets\maize trainningsystem\healthy\Corn_Health (1028).JPG,Healthy_maize
d:\CAPSTONE PROJECT\datasets\maize trainningsystem\healthy\Corn_Health (103).jpg,Healthy_maize
d:\CAPSTONE PROJECT\datasets\maize trainningsystem\healthy\Corn_Health (1030).jpg,Healthy_maize
d:\CAPSTONE PROJECT\datasets\maize trainningsystem\healthy\Corn_Health (1031).jpg,Healthy_maize
d:\CAPSTONE PROJECT\datasets\maize trainningsystem\healthy\Corn_Health (1032).jpg,Healthy_maize
d:\CAPSTONE PROJECT\datasets\maize trainningsystem\healthy\Corn_Health (1033).jpg,Healthy_maize
d:\CAPSTONE PROJECT\datasets\maize trainningsystem\healthy\Corn_Health (1034).jpg,Healthy_maize
d:\CAPSTONE PROJECT\datasets\maize trainningsystem\healthy\Corn_Health (1035).jpg,Healthy_maize
d:\CAPSTONE PROJECT\datasets\maize trainningsystem\healthy\Corn_Health (1036).jpg,Healthy_maize
d:\CAPSTONE PROJECT\datasets\maize trainningsystem\healthy\Corn_Health (1037).jpg,Healthy_maize
